#TEL	标记机构名称	电话类型	"银行客服-1
#银行客服和催收短信回复电话-2
#银行催收短信回复电话-3
#银行催收外拨电话-4
#
#信用卡客服-5
#信用卡客服和催收短信回复电话-6
#信用卡催收短信回复电话-7
#信用卡催收外拨电话-8
#
#竞品客服-9
#竞品客服和催收短信回复电话-10
#竞品催收短信回复电话-11
#竞品催收外拨电话-12
#
#银行征信审核电话-13
#信用卡征信审核电话-14
#竞品征信审核电话-15

961111	广州农商银行客服和催收回复电话	银行客服和催收短信回复电话	银行客服和催收短信回复电话-2
10100360	融360客服和催收回复电话	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
4000187777	海尔消费金融客服和催收回复电话	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
4000271268	捷信金融客服和分期催收回复电话	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
4000328876	马上消费金融客服和催收回复电话	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
4000353999	惠今分期客服和催收回复电话	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
4000703888	乐花花客服和催收回复电话	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
4000810707	优分期客服和催收回复电话	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
4000837679	缺了么网贷平台客服和催收回复电话	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
4000858383	亲亲小贷客服和催收回复电话	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
4000885678	东风财务车贷客服和催收回复电话	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
4000990707	趣分期客服和催收回复电话	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
4001006699	借贷宝客服和催收回复电话	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
4001132566	易分期催收回复电话	竞品催收短信回复电话	竞品催收短信回复电话-11
4001181081	拍拍贷催收回复电话	竞品催收短信回复电话	竞品催收短信回复电话-11
4001181081	拍拍贷催收回复电话	竞品催收短信回复电话	竞品催收短信回复电话-11
4001688816	兵装财务公司汽车消费贷服务电话和催收回复电话	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
4001802288	"小赢理财,智联毕业贷客服和催收回复电话"	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
4006028666	成都农商银行客服和信用卡催收回复电话	信用卡客服和催收短信回复电话	信用卡客服和催收短信回复电话-6
4006381080	捷信客服和分期催收回复电话	竞品催收短信回复电话	竞品催收短信回复电话-11
4006502077	东风标致雪铁龙金融客服和催收回复电话	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
4006551250	买单侠分期客服和催收回复电话	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
4006695526	北银消费金融服务电话和催收回复电话	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
4006800388	夸客金融客服和催收回复电话	竞品客服和催收短信回复电话	竞品客服和催收短信回复电话-10
